league,team,name_player,role,win,loses,kill,death,assist,kda,cs,csm,TotalGold,gold_per_m,goldshare,killp,kshare
LPL,EStar (Chinese Team),zs,Top,7,21,1.79,2.46,4.75,2.65,231.89,7.65,10900.0,359,0.20800000000000002,0.5720000000000001,0.156
LPL,EStar (Chinese Team),rat,Bot,7,21,3.68,2.96,4.21,2.66,272.43,8.99,12600.0,414,0.24,0.691,0.322
LPL,ThunderTalk Gaming,Twila,Mid,6,13,2.42,2.53,4.84,2.88,272.74,8.45,12300.0,381,0.215,0.611,0.204
LPL,LGD Gaming,Uniboy,Mid,5,13,2.06,2.44,4,2.48,258.22,8.38,11500.0,373,0.21899999999999997,0.6940000000000001,0.23600000000000002
LPL,ThunderTalk Gaming,Captain,Mid,1,4,0.8,3,2.6,1.13,266,8.16,11700.0,360,0.22,0.63,0.14800000000000002
LPL,Rogue Warriors,kaixuan,Support,1,6,0.57,4,4.14,1.18,27.71,0.86,6800.0,209,0.126,0.579,0.07
LPL,Rogue Warriors,Reheal,Support,0,7,0.29,5.14,4,0.83,34,1.31,5400.0,209,0.135,0.682,0.045
LPL,Bilibili Gaming,Biubiu,Top,11,14,2.72,4.2,5.4,1.93,244.84,7.48,12200.0,372,0.209,0.67,0.22399999999999998
LPL,Royal Never Give Up,Xiaohu,Top,19,5,2.92,2.38,8.17,4.67,267.92,8.19,13300.0,406,0.214,0.6729999999999999,0.177
LPL,Team WE,Breathe,Top,16,8,2.71,1.42,6.58,6.56,248.13,8.14,12200.0,400,0.212,0.616,0.18
LPL,Bilibili Gaming,Aiming,Bot,11,14,3.4,2.76,3.92,2.65,306.56,9.37,13900.0,426,0.239,0.604,0.281
LPL,Royal Never Give Up,GALA,Bot,19,5,6.08,1.58,5.96,7.61,339.17,10.37,15800.0,482,0.254,0.732,0.37
LPL,Team WE,Jiumeng,Bot,16,8,4.58,2.13,5.54,4.76,288.42,9.46,13800.0,452,0.24,0.6709999999999999,0.304
LPL,EStar (Chinese Team),Insulator,Mid,0,2,1.5,3,2,1.17,293,8.46,12500.0,361,0.212,0.35,0.15
LPL,JD Gaming,Xiye,Mid,0,2,2,4,2,1,216.5,7.75,9800.0,349,0.22399999999999998,0.727,0.364
LPL,Team WE,Yimeng,Mid,0,2,3,4.5,6.5,2.11,251,7.5,11900.0,356,0.212,0.826,0.261
LPL,EStar (Chinese Team),H4cker,Jungle,7,21,2.64,2.29,5.32,3.48,193,6.37,10500.0,348,0.201,0.6970000000000001,0.231
LPL,Invictus Gaming,TheShy,Top,14,10,2.46,3.21,5.58,2.51,236.58,7.94,11500.0,387,0.21,0.535,0.163
LPL,ThunderTalk Gaming,Chelizi,Top,7,17,2.04,2.67,4.25,2.36,261.83,8.1,12100.0,375,0.215,0.597,0.19399999999999998
LPL,Rogue Warriors,Ziv,Top,3,21,1.25,3.08,3.83,1.65,215.17,7.11,9900.0,328,0.201,0.575,0.142
LPL,ThunderTalk Gaming,SamD,Bot,7,17,3.38,3.42,4,2.16,316.63,9.79,14000.0,433,0.248,0.7,0.32
LPL,Oh My God,Eric,Bot,5,19,3.17,2.96,3.08,2.11,282.54,9.37,12500.0,414,0.247,0.679,0.344
LPL,FunPlus Phoenix,Lwx,Bot,17,6,5.43,1.83,5.48,5.98,289.57,9.72,14100.0,472,0.243,0.68,0.33899999999999997
