league,mh
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1490710?gameHash=ca1f12b90f6fae12
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1490690?gameHash=0c170929b19f95e2
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480759?gameHash=d6b4be1373e521f9
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480753?gameHash=fe5806567a15aa7a
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480709?gameHash=ac161573ccbeaa23
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1490612?gameHash=402953746bec4a5f
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1490579?gameHash=a703f807653cd649
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480665?gameHash=a71ab726ad1f2d87
LEC,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/1480651?gameHash=d2635ed6a46d9087
LCS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1894774?gameHash=32805004f63b3c45
LCS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1894761?gameHash=751cc37f708525e5&tab=overview
LCS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1894726?gameHash=7f912a70af368cd7&tab=overview
LCS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1894711?gameHash=ce84be762a1644e6&tab=overview
LCS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1894686?gameHash=857e9fbdeb094fb8&tab=overview
LCS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1894294?gameHash=66aa4b3785d883b0
LCS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1894244?gameHash=3e998295ac7a7b3d
LCS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1894222?gameHash=c8da73fe6ca6a5b9
LCS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1894189?gameHash=eb29afba35822154
LCS,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1894135?gameHash=f6e85ff2a8c20d82
LCS,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1881359?gameHash=f863afeb8372ce10&tab=overview
