champ_name,role,games,win,loses,kill,death,assist,cs,csm,TotalGold,gold_per_m,goldshare,killp,kshare
Senna,Bot,9,5,4,4.22,2.22,8.22,133.22,3.81,12900.0,370,0.205,0.8420000000000001,0.28600000000000003
Lux,Support,1,1,0,1,4,10,26,0.73,8600.0,242,0.12300000000000001,0.55,0.05
Sion,Support,1,1,0,1,4,12,205,6.09,11600.0,346,0.17300000000000001,0.684,0.053
Bard,Support,1,0,1,0,3,3,57,1.34,8800.0,207,0.129,1.0,0.0
Aphelios,Bot,9,4,5,3.11,2,3.89,335.22,9.58,14800.0,422,0.251,0.6559999999999999,0.292
Kalista,Bot,9,4,5,3.44,3.11,4.56,277.33,8.74,13000.0,408,0.23399999999999999,0.6729999999999999,0.29
Ezreal,Bot,6,2,4,2.5,2,3.33,294.33,8.93,12900.0,390,0.22899999999999998,0.648,0.278
Vayne,Bot,5,3,2,5.4,2.2,4.4,330.4,8.99,16000.0,436,0.237,0.583,0.321
Lulu,Support,1,0,1,0,4,2,17,0.42,8100.0,199,0.128,1.0,0.0
Morgana,Support,1,0,1,1,4,9,14,0.48,6600.0,227,0.138,0.833,0.083
Miss Fortune,Bot,4,0,4,3.25,2,2.25,318.25,9.19,13800.0,398,0.24100000000000002,0.688,0.406
Caitlyn,Bot,3,1,2,4,2.33,4.33,319,9.47,14200.0,422,0.24100000000000002,0.625,0.3
Ashe,Bot,2,2,0,2.5,1.5,6.5,293,8.71,13500.0,402,0.214,0.6920000000000001,0.192
Sivir,Bot,2,2,0,5.5,0,8.5,341.5,10.47,16000.0,491,0.24600000000000002,0.757,0.297
Tristana,Bot,2,0,2,3,4.5,3.5,282.5,8.28,14200.0,417,0.243,0.65,0.3
Seraphine,Bot,1,1,0,0,0,10,190,6.76,9500.0,337,0.184,0.909,0.0
Jinx,Bot,1,0,1,2,2,5,341,10.77,13300.0,421,0.268,1.0,0.28600000000000003
